Taxon
Chenopodium berlandieri var. boscianum
Chenopodium berlandieri var. bushianum
Chenopodium pallescens
Chenopodium pratericola
Chesneya elegans
Chimaphila japonica
Chimaphila maculata
Chionanthus retusus
Chionanthus virginicus
Chionodoxa lochiae
Chloranthus serratus
Chloris verticillata
Choisya dumosa
Chondrosum hirsutum
Chosenia arbutifolia
Chrysosplenium flagelliferum
Cicuta maculata
Cicuta maculata var. bolanderi
Cimicifuga biternata
Cinna arundinacea
Circaea canadensis
Circaea erubescens
Cirsium carolinianum
Cirsium discolor
Cirsium hillii
Cirsium muticum
Cirsium strigosum
Cirsium undulatum
Cissus trifoliata
Cladium jamaicense
Cladrastis kentukea
Clarkia speciosa subsp. polyantha
Claytonia megarhiza var. nivalis
Claytonia ozarkensis
Claytonia virginica
Clematis addisonii
Clematis albicoma
Clematis catesbyana
Clematis coactilis
Clematis crispa
Clematis flammula
Clematis fremontii
Clematis glaucophylla
Clematis morefieldii
Clematis pitcheri
Clematis texensis
Clematis versicolor
Clematis vinacea
Clematis viorna
Clematis virginiana
Clematis viticaulis
Clethra alnifolia
Cleyera japonica
Clinopodium arkansanum
Clintonia andrewsiana
Clitoria mariana
Cocculus carolinus
Coeloglossum viride
Coeloglossum viride var. virescens
Coelorachis cylindrica
Colchicum bivonae
Colchicum corsicum
Colchicum goharae
Colchicum szovitsii
Colchicum trigynum
Coleataenia longifolia subsp. longifolia
Coleataenia rigidula subsp. rigidula
Collinsia verna
Collinsia violacea
Collinsonia canadensis
Collinsonia verticillata
Comandra umbellata
Comandra umbellata subsp. umbellata
Comanthosphace japonica
Comarum palustre
Commelina erecta
Commelina virginica
Comptonia peregrina
Coniogramme pilosa
Conoclinium coelestinum
Conradina verticillata
Convallaria majuscula
Conyza canadensis var. pusilla
Coptis japonica var. major
Corallorhiza odontorhiza
Corallorhiza wisteriana
Coreopsis aristulata
Coreopsis delphiniifolia
Coreopsis grandiflora
Coreopsis intermedia
Coreopsis lanceolata
Coreopsis latifolia
Coreopsis palmata
Coreopsis pubescens
Coreopsis pulchra
Coreopsis rosea
Coreopsis tinctoria
Coreopsis tripteris
Coriaria japonica
Corispermum americanum
Corispermum villosum
Cornus alternifolia
Cornus amomum subsp. obliqua
Cornus canadensis
